EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,4,1,5,1,1,1,4,2,3,1,5,1.0,4,1,1,1,3,1,5,1,2,1,4,1,5,1,4,5,2,1,5,1,5,1,2,1,5,5,,1,1,2,5,2,5,1,2,5,1,-9.0,-35.0,-10.0,-8.0,,70.36759078969529,32.33366918109286,26.17219239644612,22.994146794032744,,high,low,low,low,low
1,4,1,5,1,1,1,5,2,3,1,1,1.0,4,1,1,1,2,1,2,1,2,1,5,1,5,1,4,5,2,1,2,1,2,1,3,1,5,5,1.0,1,1,1,5,2,5,1,2,5,1,-10.0,-33.0,-3.0,-9.0,1.0,10.625592781144464,10.931204393400838,6.37559204247637,77.0661285223388,28.65520056808501,low,low,low,high,low
1,4,1,5,1,1,1,2,1,2,1,1,,4,1,1,1,5,1,5,1,2,1,5,1,5,1,4,5,2,1,4,1,2,1,5,1,5,5,,1,1,1,5,2,5,1,2,5,1,-12.0,-34.0,-5.0,,,13.51772458710916,94.38897867809928,76.42575253043067,,,low,high,high,low,low
1,5,1,5,1,1,1,4,2,3,1,1,1.0,5,1,1,1,5,1,5,1,2,1,4,1,5,1,4,4,2,1,2,1,2,1,3,1,2,5,,1,1,1,5,2,5,1,2,5,1,-10.0,-32.0,-4.0,-8.0,,10.625592781144464,46.41711503819899,78.47127221298067,22.994146794032744,,low,low,high,low,low
1,4,1,5,1,1,1,5,2,2,1,2,1.0,4,1,1,1,5,1,5,1,5,1,5,1,5,1,4,5,2,1,5,1,2,1,2,1,5,5,,1,2,1,5,2,5,1,2,5,1,-9.0,-33.0,-9.0,-12.0,,70.36759078969529,10.931204393400838,43.93844038603779,21.548031646510875,,high,low,low,low,low
1,4,1,5,1,1,1,2,1,4,1,1,,4,1,1,1,5,1,2,1,2,1,4,1,5,1,5,5,2,1,4,1,2,1,2,1,5,5,,1,1,2,5,2,5,1,2,5,1,-9.0,-33.0,-5.0,,,70.36759078969529,10.931204393400838,76.42575253043067,,,high,low,high,low,low
1,5,1,5,1,1,1,5,1,3,1,5,1.0,4,1,1,1,2,1,5,1,5,1,4,1,5,1,4,5,2,1,2,1,2,1,3,1,5,5,,1,1,1,5,2,5,1,2,5,1,-10.0,-33.0,-11.0,-9.0,,10.625592781144464,10.931204393400838,62.725429190784176,77.0661285223388,,low,low,high,high,low
1,4,1,5,1,1,1,4,2,2,1,2,1.0,4,1,1,1,3,1,2,1,4,1,5,1,5,1,4,5,2,1,2,1,2,1,2,1,5,5,,1,2,1,5,3,5,1,2,4,1,-9.0,-32.0,-5.0,-9.0,,70.36759078969529,46.41711503819899,76.42575253043067,77.0661285223388,,high,low,high,high,low
1,4,1,5,1,1,1,5,2,3,1,1,1.0,4,1,1,1,2,1,5,1,4,1,5,1,5,1,4,5,2,1,5,1,2,1,2,1,5,5,,1,1,1,5,3,5,1,4,5,1,-9.0,-33.0,-8.0,-7.0,,70.36759078969529,10.931204393400838,77.43575803597018,5.486925082312248,,high,low,high,low,low
1,5,2,5,1,1,1,4,2,3,1,2,,4,1,1,1,2,1,5,1,4,1,5,1,5,1,4,5,2,1,2,1,2,1,2,1,5,5,,1,2,1,4,2,5,1,2,5,1,-9.0,-32.0,-6.0,,,70.36759078969529,46.41711503819899,71.09503112747343,,,high,low,high,low,low
1,5,1,5,1,1,1,5,2,2,1,5,1.0,5,1,1,1,2,1,5,1,4,1,4,1,5,1,4,5,2,1,5,1,2,1,2,1,5,5,1.0,1,1,1,4,2,5,1,2,5,1,-9.0,-32.0,-13.0,-9.0,-1.0,70.36759078969529,46.41711503819899,62.30497931236895,77.0661285223388,45.80845252974124,high,low,high,high,low
1,4,1,5,1,1,1,5,2,3,1,5,1.0,4,1,1,1,2,1,5,1,2,1,4,1,5,1,4,5,2,1,4,1,2,1,5,2,5,5,,1,1,1,5,3,5,1,2,5,1,-12.0,-32.0,-8.0,-9.0,,13.51772458710916,46.41711503819899,77.43575803597018,77.0661285223388,,low,low,high,high,low
1,4,1,5,1,1,1,4,2,3,1,2,1.0,2,1,1,1,5,1,2,1,5,1,2,1,5,1,4,5,2,1,5,1,2,2,2,1,5,5,,1,1,1,5,2,5,1,2,5,1,-9.0,-28.0,-10.0,-11.0,,70.36759078969529,71.25704566249172,26.17219239644612,55.62279076684582,,high,high,low,high,low
1,5,1,5,1,1,1,2,1,3,1,5,1.0,4,1,1,1,2,1,2,1,2,1,5,1,5,1,4,5,2,1,2,1,2,1,3,1,5,5,1.0,1,2,1,5,2,5,1,2,4,1,-10.0,-33.0,-7.0,-6.0,1.0,10.625592781144464,10.931204393400838,6.154878016351157,54.4445659143086,28.65520056808501,low,low,low,high,low
1,5,1,5,1,1,1,2,2,3,1,5,1.0,4,1,1,1,2,1,5,1,2,1,4,1,5,1,4,5,2,1,5,1,2,1,2,2,5,5,,1,1,1,5,2,5,1,2,5,1,-9.0,-32.0,-10.0,-6.0,,70.36759078969529,46.41711503819899,26.17219239644612,54.4445659143086,,high,low,low,high,low
1,4,1,5,1,1,1,5,2,2,1,1,,4,1,1,1,2,1,5,1,5,1,5,1,5,1,4,5,2,1,2,1,2,2,2,1,5,5,,1,1,1,4,2,5,1,2,5,1,-9.0,-32.0,-6.0,,,70.36759078969529,46.41711503819899,71.09503112747343,,,high,low,high,low,low
1,4,2,5,1,1,1,2,1,3,1,2,1.0,5,1,1,1,5,1,5,1,2,1,5,1,5,1,4,5,2,1,5,1,5,2,2,2,5,5,1.0,1,1,1,5,2,5,1,2,5,1,-9.0,-38.0,-6.0,-8.0,-1.0,70.36759078969529,64.42653256393665,71.09503112747343,22.994146794032744,45.80845252974124,high,high,high,low,low
1,4,1,5,1,1,1,2,2,3,1,2,1.0,4,1,1,1,2,1,5,1,2,1,2,1,5,1,4,5,5,1,5,1,2,1,2,1,5,5,,1,1,1,5,2,5,1,2,5,1,-9.0,-30.0,-7.0,-6.0,,70.36759078969529,6.304876883726748,6.154878016351157,54.4445659143086,,high,low,low,high,low
1,4,1,5,1,1,1,2,2,2,1,2,1.0,4,1,1,1,2,1,2,1,2,1,5,1,5,1,4,5,5,1,4,1,2,1,3,1,5,5,,1,1,1,5,2,5,1,2,5,1,-10.0,-33.0,-6.0,-6.0,,10.625592781144464,10.931204393400838,71.09503112747343,54.4445659143086,,low,low,high,high,low
1,4,1,5,1,1,1,4,2,2,1,1,,5,1,1,1,3,1,5,1,5,1,4,1,5,1,4,4,2,1,5,1,2,1,2,2,5,5,,1,1,1,4,2,5,1,2,5,1,-9.0,-31.0,-8.0,,,70.36759078969529,86.45115286391469,77.43575803597018,,,high,high,high,low,low
